Uninsured,,,,,,,,
Under 65 years | All Races | Both Sexes | All Incomes,,,,,,,,
,,,Uninsured,,,,Demographic Group,
Year,ID,Name,Number,Margin of Error,%,% Margin of Error,Number,Margin of Error
2022,39153,"Summit County, OH","28,096",2660,6.6,0.6,"426,672",0
2022,39155,"Trumbull County, OH","13,193",1465,8.6,1,"153,267",0
2022,39157,"Tuscarawas County, OH","6,303",744,8.6,1,"73,042",0
2022,39159,"Union County, OH","2,368",330,4.2,0.6,"55,846",0
2022,39161,"Van Wert County, OH","1,369",192,6,0.8,"22,879",0
2022,39163,"Vinton County, OH",899,126,8.9,1.2,"10,125",0
2022,39165,"Warren County, OH","9,229",1073,4.4,0.5,"208,530",0
2022,39167,"Washington County, OH","3,376",455,7.5,1,"44,828",0
2022,39169,"Wayne County, OH","11,549",1223,12.6,1.3,"91,589",0
2022,39171,"Williams County, OH","1,925",273,6.8,1,"28,443",0
2022,39173,"Wood County, OH","5,804",752,5.5,0.7,"106,057",0
2022,39175,"Wyandot County, OH","1,014",152,5.9,0.9,"17,066",0
